AGU001,Cristo Roto,AGU
BCN001,Ruta del Vino,BCN
CAM001,Fuerte de San Miguel,CAM
CHP001,Parque de la Marimba,CHP
CMX001,Museo Nacional de Arte,CMX
DUR001,Museo Túnel de Minería,DUR
GRO001,Acapulco,GRO
MEX001,Centro Ceremonial Otomí,MEX
MIC001,Janitzio,MIC
AGU002,Jardín de San Marcos,AGU
BCN002,La Bufadora,BCN
CAM002,Puerta de Tierra,CAM
CHP002,Cañón del Sumidero,CHP
CMX002,Mercado del Carmen,CMX
DUR002,Mexiquillo,DUR
GRO002,Grutas de Cacahuamilpa,GRO
MEX002,Parque Nacional Nevado de Toluca,MEX
MIC002,Quiroga,MIC
AGU003,El Ocote,AGU
BCN003,Cañón de Guadalupe,BCN
CAM003,Zona Arqueológica de Edzná,CAM
CHP003,Cascadas de Agua Azul,CHP
CMX003,Centro Histórico,CMX
DUR003,Nombre de Dios,DUR
GRO003,Pozas Azules de Atzala,GRO
MEX003,Zoológico de Zacango,MEX
MIC003,Cuitzeo,MIC
AGU004,Museo Ferrocarrilero,AGU
BCN004,La Rumorosa,BCN
CAM004,Fuerte de San José El Alto,CAM
CHP004,Agua Clara,CHP
CMX004,Zoológico de Chapultepec,CMX
DUR004,Wallander,DUR
GRO004,Cascada de Cacalotenango,GRO
MEX004,Teotihuacan,MEX
MIC004,Pátzcuaro,MIC
